nodenumber,x,y,p,pressure-coefficient,dynamic-pressure,absolute-pressure,total-pressure,velocity-magnitude,u,v
         1,-5.000000000E+00,-5.000000000E+00, 1.051428572E+00, 7.629413676E-03, 1.378121207E+02, 1.013260514E+05, 1.388635493E+02, 1.500000000E+01, 1.500000000E+01, 0.000000000E+00
         2,-4.800000000E+00,-5.000000000E+00, 1.052342290E+00, 7.636043828E-03, 1.378112743E+02, 1.013260523E+05, 1.388636166E+02, 1.499993151E+01, 1.499993151E+01, 0.000000000E+00
         3,-4.600000000E+00,-5.000000000E+00, 1.054543841E+00, 7.652018799E-03, 1.378089667E+02, 1.013260545E+05, 1.388635106E+02, 1.499980909E+01, 1.499980909E+01, 0.000000000E+00
         4,-4.400000000E+00,-5.000000000E+00, 1.058285284E+00, 7.679167593E-03, 1.378052209E+02, 1.013260583E+05, 1.388635062E+02, 1.499960642E+01, 1.499960642E+01, 0.000000000E+00
         5,-4.200000000E+00,-5.000000000E+00, 1.063299681E+00, 7.715553242E-03, 1.378002197E+02, 1.013260633E+05, 1.388635194E+02, 1.499933387E+01, 1.499933387E+01, 0.000000000E+00
         6,-4.000000000E+00,-5.000000000E+00, 1.069684064E+00, 7.761879828E-03, 1.377938392E+02, 1.013260697E+05, 1.388635233E+02, 1.499898606E+01, 1.499898606E+01, 0.000000000E+00
         7,-3.800000000E+00,-5.000000000E+00, 1.077263736E+00, 7.816879714E-03, 1.377862678E+02, 1.013260773E+05, 1.388635315E+02, 1.499857322E+01, 1.499857322E+01, 0.000000000E+00
         8,-3.600000000E+00,-5.000000000E+00, 1.085917264E+00, 7.879671758E-03, 1.377776252E+02, 1.013260859E+05, 1.388635424E+02, 1.499810215E+01, 1.499810215E+01, 0.000000000E+00
         9,-3.400000000E+00,-5.000000000E+00, 1.095502671E+00, 7.949225728E-03, 1.377680469E+02, 1.013260955E+05, 1.388635495E+02, 1.499758046E+01, 1.499758046E+01, 0.000000000E+00
        10,-3.200000000E+00,-5.000000000E+00, 1.105874213E+00, 8.024484088E-03, 1.377576785E+02, 1.013261059E+05, 1.388635527E+02, 1.499701603E+01, 1.499701603E+01, 0.000000000E+00
        11,-3.000000000E+00,-5.000000000E+00, 1.116847921E+00, 8.104111902E-03, 1.377467053E+02, 1.013261168E+05, 1.388635532E+02, 1.499641878E+01, 1.499641878E+01, 0.000000000E+00
        12,-2.800000000E+00,-5.000000000E+00, 1.128224744E+00, 8.186664810E-03, 1.377353280E+02, 1.013261282E+05, 1.388635528E+02, 1.499579955E+01, 1.499579955E+01, 0.000000000E+00
        13,-2.600000000E+00,-5.000000000E+00, 1.139789281E+00, 8.270579818E-03, 1.377237629E+02, 1.013261398E+05, 1.388635522E+02, 1.499517004E+01, 1.499517004E+01, 0.000000000E+00
        14,-2.400000000E+00,-5.000000000E+00, 1.151317218E+00, 8.354229250E-03, 1.377122345E+02, 1.013261513E+05, 1.388635517E+02, 1.499454247E+01, 1.499454247E+01, 0.000000000E+00
        15,-2.200000000E+00,-5.000000000E+00, 1.162578669E+00, 8.435944994E-03, 1.377009726E+02, 1.013261626E+05, 1.388635513E+02, 1.499392935E+01, 1.499392935E+01, 0.000000000E+00
        16,-2.000000000E+00,-5.000000000E+00, 1.173342848E+00, 8.514052413E-03, 1.376902079E+02, 1.013261733E+05, 1.388635508E+02, 1.499334326E+01, 1.499334326E+01, 0.000000000E+00
        17,-1.800000000E+00,-5.000000000E+00, 1.183382410E+00, 8.586901839E-03, 1.376801676E+02, 1.013261834E+05, 1.388635500E+02, 1.499279657E+01, 1.499279657E+01, 0.000000000E+00
        18,-1.600000000E+00,-5.000000000E+00, 1.192478662E+00, 8.652906388E-03, 1.376710702E+02, 1.013261925E+05, 1.388635489E+02, 1.499230121E+01, 1.499230121E+01, 0.000000000E+00
        19,-1.400000000E+00,-5.000000000E+00, 1.200426575E+00, 8.710578322E-03, 1.376631206E+02, 1.013262004E+05, 1.388635472E+02, 1.499186833E+01, 1.499186833E+01, 0.000000000E+00
        20,-1.200000000E+00,-5.000000000E+00, 1.207043046E+00, 8.758588993E-03, 1.376564996E+02, 1.013262070E+05, 1.388635426E+02, 1.499150780E+01, 1.499150780E+01, 0.000000000E+00
        21,-1.000000000E+00,-5.000000000E+00, 1.212165397E+00, 8.795757982E-03, 1.376513649E+02, 1.013262122E+05, 1.388635303E+02, 1.499122819E+01, 1.499122819E+01, 0.000000000E+00
