x,y,u,v,p
-0.25, -0.25, 0.75, 0, 0.510766
0.75, -0.25, 0.761682, 0, 0.5
-0.25, 0.25, 0.75, 0, 0.511602
0.75, 0.25, 0.762574, 0, 0.5
0, 0, 0, 0, 0.82673
0.05, -0, 0, 0, 0.432544
-0.242, -0.25, 0.750009, 0, 0.510756
-0.234, -0.25, 0.750032, 0, 0.510736
-0.227, -0.25, 0.750068, 0, 0.510703
-0.219, -0.25, 0.750123, 0, 0.510653
-0.212, -0.25, 0.750187, 0, 0.510595
-0.204, -0.25, 0.750275, 0, 0.510515
-0.197, -0.25, 0.750367, 0, 0.51043
-0.189, -0.25, 0.750487, 0, 0.51032
-0.182, -0.25, 0.75061, 0, 0.510208
-0.174, -0.25, 0.750765, 0, 0.510066
-0.167, -0.25, 0.750918, 0, 0.509925
-0.159, -0.25, 0.75111, 0, 0.509749
-0.152, -0.25, 0.751296, 0, 0.509578
-0.144, -0.25, 0.751526, 0, 0.509367
-0.137, -0.25, 0.751747, 0, 0.509164
-0.129, -0.25, 0.752016, 0, 0.508916
-0.122, -0.25, 0.752271, 0, 0.508682
-0.114, -0.25, 0.75258, 0, 0.508397
-0.107, -0.25, 0.752871, 0, 0.508129
-0.099, -0.25, 0.75322, 0, 0.507808
-0.092, -0.25, 0.753544, 0, 0.507509
-0.084, -0.25, 0.753931, 0, 0.507152
-0.077, -0.25, 0.754288, 0, 0.506823
-0.069, -0.25, 0.754709, 0, 0.506434
-0.062, -0.25, 0.755093, 0, 0.506079
-0.054, -0.25, 0.755544, 0, 0.505662
-0.046, -0.25, 0.756009, 0, 0.505233
-0.039, -0.25, 0.756424, 0, 0.504848
-0.031, -0.25, 0.756905, 0, 0.504403
-0.024, -0.25, 0.757331, 0, 0.504008
-0.016, -0.25, 0.757819, 0, 0.503555
-0.009, -0.25, 0.758247, 0, 0.503159
-0.001, -0.25, 0.758732, 0, 0.502708
0.006, -0.25, 0.75915, 0, 0.50232
0.014, -0.25, 0.759621, 0, 0.501882
0.021, -0.25, 0.760021, 0, 0.50151
0.029, -0.25, 0.760466, 0, 0.501097
0.036, -0.25, 0.760839, 0, 0.500749
0.044, -0.25, 0.761248, 0, 0.500368
0.051, -0.25, 0.761586, 0, 0.500053
0.059, -0.25, 0.761952, 0, 0.499712
0.066, -0.25, 0.76225, 0, 0.499434
0.074, -0.25, 0.762569, 0, 0.499137
0.081, -0.25, 0.762823, 0, 0.4989
0.089, -0.25, 0.76309, 0, 0.49865
0.096, -0.25, 0.7633, 0, 0.498455
0.104, -0.25, 0.763517, 0, 0.498252
0.111, -0.25, 0.763682, 0, 0.498098
0.119, -0.25, 0.76385, 0, 0.497941
0.126, -0.25, 0.763975, 0, 0.497825
0.134, -0.25, 0.764097, 0, 0.49771
0.141, -0.25, 0.764185, 0, 0.497629
0.149, -0.25, 0.764267, 0, 0.497552
0.157, -0.25, 0.764329, 0, 0.497495
0.164, -0.25, 0.764368, 0, 0.497459
0.172, -0.25, 0.764399, 0, 0.49743
0.179, -0.25, 0.764413, 0, 0.497418
0.187, -0.25, 0.764417, 0, 0.497414
0.194, -0.25, 0.76441, 0, 0.497421
0.202, -0.25, 0.764393, 0, 0.497437
0.209, -0.25, 0.76437, 0, 0.49746
0.217, -0.25, 0.764336, 0, 0.497491
0.224, -0.25, 0.764301, 0, 0.497525
0.232, -0.25, 0.764255, 0, 0.497569
0.239, -0.25, 0.76421, 0, 0.497611
0.247, -0.25, 0.764155, 0, 0.497663
0.254, -0.25, 0.764104, 0, 0.497711
0.262, -0.25, 0.764043, 0, 0.497768
0.269, -0.25, 0.763988, 0, 0.49782
0.277, -0.25, 0.763923, 0, 0.497881
0.284, -0.25, 0.763866, 0, 0.497935
0.292, -0.25, 0.763799, 0, 0.497998
0.299, -0.25, 0.763741, 0, 0.498053
0.307, -0.25, 0.763675, 0, 0.498115
0.314, -0.25, 0.763617, 0, 0.49817
0.322, -0.25, 0.763551, 0, 0.498232
0.329, -0.25, 0.763494, 0, 0.498285
